Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Motivation_Level,Internet_Access,Tutoring_Sessions,Family_Income,School_Type,Peer_Influence,Physical_Activity,Learning_Disabilities,Distance_from_Home,Gender,Exam_Score,Study_Efficiency,Sleep_Category,Improvement_Potential,Has_Tutoring
23,84,0.0,2.0,0,7,73,0.0,1,0.0,0.0,1,2.0,3,0,2.0,1,67,0.27058823529411763,Normal,3.0416666666666665,0
19,64,0.0,1.0,0,8,59,0.0,1,2.0,1.0,1,0.0,4,0,1.0,0,61,0.2923076923076923,Good,2.95,1
24,98,1.0,1.0,1,7,91,1.0,1,2.0,1.0,1,1.0,4,0,2.0,1,74,0.24242424242424243,Normal,3.64,1
29,89,0.0,1.0,1,8,98,1.0,1,1.0,1.0,1,0.0,4,0,1.0,1,71,0.32222222222222224,Good,3.2666666666666666,1
19,92,1.0,1.0,1,6,65,1.0,1,3.0,1.0,1,1.0,4,0,2.0,0,70,0.20430107526881722,Normal,3.25,1
19,88,1.0,1.0,1,8,89,1.0,1,3.0,1.0,1,2.0,3,0,2.0,1,71,0.21348314606741572,Good,4.45,1
29,84,1.0,0.0,1,7,68,0.0,1,1.0,0.0,0,1.0,2,0,1.0,1,67,0.3411764705882353,Normal,2.2666666666666666,1
25,78,0.0,2.0,1,6,50,1.0,1,1.0,2.0,1,0.0,2,0,0.0,1,66,0.31645569620253167,Normal,1.9230769230769231,1
17,94,1.0,2.0,0,6,80,2.0,1,0.0,1.0,0,1.0,1,0,2.0,1,69,0.17894736842105263,Normal,4.444444444444445,0
23,98,1.0,1.0,1,8,71,1.0,1,0.0,2.0,1,2.0,5,0,1.0,1,72,0.23232323232323232,Good,2.9583333333333335,0
17,80,0.0,2.0,0,8,88,1.0,0,3.5,1.0,0,1.0,4,0,1.0,1,68,0.20987654320987653,Good,4.888888888888889,1
17,97,1.0,2.0,1,6,87,0.0,1,2.0,0.0,0,1.0,2,0,2.0,1,71,0.17346938775510204,Normal,4.833333333333333,1
21,83,1.0,1.0,1,8,97,0.0,1,2.0,1.0,1,2.0,4,0,2.0,1,70,0.25,Good,4.409090909090909,1
9,82,1.0,1.0,1,8,72,1.0,1,2.0,1.0,0,2.0,3,0,2.0,1,66,0.10843373493975904,Good,7.2,1
10,78,1.0,2.0,1,8,74,1.0,1,1.0,0.0,0,1.0,4,0,2.0,1,65,0.12658227848101267,Good,6.7272727272727275,1
17,68,1.0,1.0,0,8,70,1.0,1,2.0,1.0,0,2.0,4,0,2.0,0,64,0.2463768115942029,Good,3.888888888888889,1
14,60,1.0,0.0,1,10,65,0.0,1,0.0,2.0,0,2.0,3,0,2.0,1,60,0.22950819672131148,Oversleep,4.333333333333333,0
22,70,0.0,1.0,1,6,82,1.0,1,1.0,0.0,1,1.0,3,0,2.0,0,65,0.30985915492957744,Normal,3.5652173913043477,1
15,80,1.0,1.0,1,9,91,0.0,1,3.0,0.0,1,2.0,2,0,1.0,0,67,0.18518518518518517,Good,5.6875,1
12,75,1.0,2.0,1,7,58,1.0,1,3.0,1.0,0,2.0,4,0,2.0,1,66,0.15789473684210525,Normal,4.461538461538462,1
29,78,1.0,1.0,0,5,99,2.0,1,0.0,2.0,1,0.0,1,0,1.0,0,69,0.3670886075949367,Low,3.3,0
19,99,1.0,2.0,0,6,84,1.0,1,1.0,1.0,1,1.0,3,0,2.0,1,72,0.19,Normal,4.2,1
20,74,1.0,2.0,0,8,89,0.0,1,1.0,1.0,1,0.0,2,0,1.0,0,66,0.26666666666666666,Good,4.238095238095238,1
11,78,2.0,1.0,1,8,100,2.0,1,1.0,0.0,1,1.0,3,0,1.0,1,66,0.13924050632911392,Good,8.333333333333334,1
17,65,0.0,2.0,1,5,75,1.0,1,2.0,0.0,1,2.0,3,0,2.0,0,63,0.25757575757575757,Low,4.166666666666667,1
21,62,2.0,0.0,1,6,54,2.0,1,0.0,2.0,1,2.0,3,0,0.0,1,64,0.3333333333333333,Normal,2.4545454545454546,0
13,91,0.0,1.0,0,6,90,1.0,1,1.0,2.0,1,0.0,2,1,1.0,0,65,0.14130434782608695,Normal,6.428571428571429,1
